Fall ID;Sequenz ID;Registrierungsdatum;Ausbruch;Nachname;Vorname;Ort;PLZ;Straße;Angesteckt bei;Kategorie:Geimpft
GCVD-0;;08.08.21;;Müller;Dieter;Düsseldorf;40237;Musterstraße 1;;Nein
GCVD-1;;11.08.21;;Maier;Lara;Düsseldorf;40237;Musterstraße 1;;Ja
GCVD-2;;18.08.21;;Roth;Elisa;Düsseldorf;40476;Musterstraße 2;;Nein
GCVD-3;;19.08.21;;Petrov;Sveta;Düsseldorf;40237;Musterstraße 1;;Ja
GCVD-4;;21.08.21;;Roth;Nadja;Düsseldorf;40476;Musterstraße 2;;Ja
GCVD-5;;22.08.21;;El-Masri;Omar;Düsseldorf;40215;Musterstraße 3;;Ja
GCVD-6;G6;22.08.21;;El-Masri;Cara;Düsseldorf;40215;Musterstraße 3;;Nein
GCVD-7;;24.08.21;;Nguyen;An;Düsseldorf;40627;Musterstraße 4;;Ja
GCVD-8;;24.08.21;;Roth;Tessa;Düsseldorf;40476;Musterstraße 2;;Ja
GCVD-9;;24.08.21;;Müller;Hannah;Düsseldorf;40227;Musterstraße 5;;Ja
GCVD-10;;24.08.21;;Karl;Hanna;Düsseldorf;40227;Musterstraße 5;;Nein
GCVD-11;;24.08.21;;Timm;Sven;Düsseldorf;40227;Musterstraße 5;;Ja
GCVD-12;;24.08.21;;Meno;Manja;Düsseldorf;40227;Musterstraße 5;;Ja
GCVD-13;;24.08.21;;Vito;Marc;Düsseldorf;40227;Musterstraße 5;;Ja
GCVD-14;;25.08.21;Schule A;Becker;Laura;Düsseldorf;40549;Musterstraße 6;;Nein
GCVD-15;;25.08.21;;Petrov;Natalja;Düsseldorf;40237;Musterstraße 1;;Ja
GCVD-16;;25.08.21;;Petrov;Mara;Düsseldorf;40237;Musterstraße 1;GCVD-17;Ja
GCVD-17;G17;25.08.21;;Petrov;Dimitri;Düsseldorf;40237;Musterstraße 1;;Ja
GCVD-18;G18;25.08.21;;Kaya;Mehmet;Düsseldorf;40479;Musterstraße 7;GCVD-17;Nein
GCVD-19;G19;25.08.21;;Petrov;Matthias;Düsseldorf;40237;Musterstraße 1;;Ja
GCVD-20;;26.08.21;Kita B;Berger;Lena;Düsseldorf;40476;Musterstraße 8;;Ja
GCVD-21;;26.08.21;;Zwirner;Leonard;Düsseldorf;40472;Musterstraße 9;;Ja
GCVD-22;;26.08.21;;Zwirner;Tabea;Düsseldorf;40472;Musterstraße 9;;Nein
GCVD-23;G23;28.08.21;Schule B;Berkel;Sandra;Düsseldorf;40237;Musterstraße 10;;Ja
GCVD-24;;28.08.21;Schule B;Al-Zaharani;Hassan;Düsseldorf;40476;Musterstraße 11;;Ja
GCVD-25;;28.08.21;Schule A;Hoffmann;Elena;Düsseldorf;40210;Musterstraße 12;;Ja
GCVD-26;;28.08.21;Schule A;Hoffmann;Sabrina;Düsseldorf;40210;Musterstraße 12;;Nein
GCVD-27;;28.08.21;Schule B;Fuchs;Mara;Düsseldorf;40476;Musterstraße 13;;Ja
GCVD-28;G28;28.08.21;Schule B;Volkov;Pavel;Düsseldorf;40239;Musterstraße 14;;Ja
GCVD-29;G29;28.08.21;;Hoffmann;Britt;Düsseldorf;40210;Musterstraße 12;;Ja
GCVD-30;G30;29.08.21;;Becker;Tim;Düsseldorf;40549;Musterstraße 6;;Nein
GCVD-31;G31;29.08.21;Schule A;Becker;Nora;Düsseldorf;40549;Musterstraße 6;;Ja
GCVD-32;;29.08.21;Schule A;Rodriguez;Dua;Düsseldorf;40223;Musterstraße 15;;Ja
GCVD-33;;29.08.21;Schule A;Lehmann;Markus;Düsseldorf;40211;Musterstraße 16;;Ja
